Table;Field;Type;Null;Key;Default;Extra
"node__field_descrizione_spazio";"bundle";varchar(128);"NO";"MUL";;""
"node__field_descrizione_spazio";"deleted";tinyint;"NO";"PRI";0;""
"node__field_descrizione_spazio";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_descrizione_spazio";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_descrizione_spazio";"langcode";varchar(32);"NO";"PRI";;""
"node__field_descrizione_spazio";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_descrizione_spazio";"field_descrizione_spazio_value";longtext;"NO";"";\N;""
"node__field_descrizione_spazio";"field_descrizione_spazio_format";varchar(255);"YES";"MUL";\N;""
"node__field_destinatari";"bundle";varchar(128);"NO";"MUL";;""
"node__field_destinatari";"deleted";tinyint;"NO";"PRI";0;""
"node__field_destinatari";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_destinatari";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_destinatari";"langcode";varchar(32);"NO";"PRI";;""
"node__field_destinatari";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_destinatari";"field_destinatari_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_dimensione";"bundle";varchar(128);"NO";"MUL";;""
"node__field_dimensione";"deleted";tinyint;"NO";"PRI";0;""
"node__field_dimensione";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_dimensione";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_dimensione";"langcode";varchar(32);"NO";"PRI";;""
"node__field_dimensione";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_dimensione";"field_dimensione_value";varchar(255);"NO";"MUL";\N;""
"node__field_dimensione_mq";"bundle";varchar(128);"NO";"MUL";;""
"node__field_dimensione_mq";"deleted";tinyint;"NO";"PRI";0;""
"node__field_dimensione_mq";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_dimensione_mq";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_dimensione_mq";"langcode";varchar(32);"NO";"PRI";;""
"node__field_dimensione_mq";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_dimensione_mq";"field_dimensione_mq_value";varchar(255);"NO";"";\N;""
"node__field_disponibilita";"bundle";varchar(128);"NO";"MUL";;""
"node__field_disponibilita";"deleted";tinyint;"NO";"PRI";0;""
"node__field_disponibilita";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_disponibilita";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_disponibilita";"langcode";varchar(32);"NO";"PRI";;""
"node__field_disponibilita";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_disponibilita";"field_disponibilita_value";varchar(255);"NO";"";\N;""
"node__field_disponibilita_minima";"bundle";varchar(128);"NO";"MUL";;""
"node__field_disponibilita_minima";"deleted";tinyint;"NO";"PRI";0;""
"node__field_disponibilita_minima";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_disponibilita_minima";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_disponibilita_minima";"langcode";varchar(32);"NO";"PRI";;""
"node__field_disponibilita_minima";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_disponibilita_minima";"field_disponibilita_minima_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_durata";"bundle";varchar(128);"NO";"MUL";;""
"node__field_durata";"deleted";tinyint;"NO";"PRI";0;""
"node__field_durata";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_durata";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_durata";"langcode";varchar(32);"NO";"PRI";;""
"node__field_durata";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_durata";"field_durata_value";longtext;"NO";"";\N;""
"node__field_durata_progetto";"bundle";varchar(128);"NO";"MUL";;""
"node__field_durata_progetto";"deleted";tinyint;"NO";"PRI";0;""
"node__field_durata_progetto";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_durata_progetto";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_durata_progetto";"langcode";varchar(32);"NO";"PRI";;""
"node__field_durata_progetto";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_durata_progetto";"field_durata_progetto_value";varchar(255);"NO";"";\N;""
"node__field_elementi_di_innovazione";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elementi_di_innovazione";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elementi_di_innovazione";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elementi_di_innovazione";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elementi_di_innovazione";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elementi_di_innovazione";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elementi_di_innovazione";"field_elementi_di_innovazione_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_";"field_elenco__value";tinyint;"NO";"";\N;""
"node__field_elenco_bandi";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_bandi";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_bandi";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_bandi";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_bandi";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_bandi";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_bandi";"field_elenco_bandi_value";tinyint;"NO";"";\N;""
"node__field_elenco_f";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_f";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_f";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_f";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_f";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_f";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_f";"field_elenco_f_value";tinyint;"NO";"";\N;""
"node__field_elenco_imprese_";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_imprese_";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_imprese_";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_imprese_";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_imprese_";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_imprese_";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_imprese_";"field_elenco_imprese__value";tinyint;"NO";"";\N;""
"node__field_elenco_opportunita";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_opportunita";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_opportunita";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_opportunita";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_opportunita";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_opportunita";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_opportunita";"field_elenco_opportunita_value";tinyint;"NO";"";\N;""
"node__field_elenco_servizi";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_servizi";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_servizi";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_servizi";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_servizi";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_servizi";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_servizi";"field_elenco_servizi_value";tinyint;"NO";"";\N;""
"node__field_elenco_spazi";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_spazi";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_spazi";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_spazi";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_spazi";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_spazi";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_spazi";"field_elenco_spazi_value";tinyint;"NO";"";\N;""
"node__field_elenco_spazi_opportunity";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_spazi_opportunity";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_spazi_opportunity";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_spazi_opportunity";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_spazi_opportunity";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_spazi_opportunity";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_spazi_opportunity";"field_elenco_spazi_opportunity_value";tinyint;"NO";"";\N;""
"node__field_elenco_stake";"bundle";varchar(128);"NO";"MUL";;""
"node__field_elenco_stake";"deleted";tinyint;"NO";"PRI";0;""
"node__field_elenco_stake";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_stake";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_elenco_stake";"langcode";varchar(32);"NO";"PRI";;""
"node__field_elenco_stake";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_elenco_stake";"field_elenco_stake_value";tinyint;"NO";"";\N;""
"node__field_email_contatto_riferimento";"bundle";varchar(128);"NO";"MUL";;""
"node__field_email_contatto_riferimento";"deleted";tinyint;"NO";"PRI";0;""
"node__field_email_contatto_riferimento";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_email_contatto_riferimento";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_email_contatto_riferimento";"langcode";varchar(32);"NO";"PRI";;""
"node__field_email_contatto_riferimento";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_email_contatto_riferimento";"field_email_contatto_riferimento_value";varchar(254);"NO";"";\N;""
"node__field_email_richiedente";"bundle";varchar(128);"NO";"MUL";;""
"node__field_email_richiedente";"deleted";tinyint;"NO";"PRI";0;""
"node__field_email_richiedente";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_email_richiedente";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_email_richiedente";"langcode";varchar(32);"NO";"PRI";;""
"node__field_email_richiedente";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_email_richiedente";"field_email_richiedente_value";varchar(254);"NO";"";\N;""
"node__field_email_user";"bundle";varchar(128);"NO";"MUL";;""
"node__field_email_user";"deleted";tinyint;"NO";"PRI";0;""
"node__field_email_user";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_email_user";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_email_user";"langcode";varchar(32);"NO";"PRI";;""
"node__field_email_user";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_email_user";"field_email_user_value";varchar(254);"NO";"";\N;""
"node__field_ente";"bundle";varchar(128);"NO";"MUL";;""
"node__field_ente";"deleted";tinyint;"NO";"PRI";0;""
"node__field_ente";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_ente";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_ente";"langcode";varchar(32);"NO";"PRI";;""
"node__field_ente";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_ente";"field_ente_value";varchar(255);"NO";"";\N;""
"node__field_galleria_immagini";"bundle";varchar(128);"NO";"MUL";;""
"node__field_galleria_immagini";"deleted";tinyint;"NO";"PRI";0;""
"node__field_galleria_immagini";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_galleria_immagini";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_galleria_immagini";"langcode";varchar(32);"NO";"PRI";;""
"node__field_galleria_immagini";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_galleria_immagini";"field_galleria_immagini_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_gestione_workflow";"bundle";varchar(128);"NO";"MUL";;""
"node__field_gestione_workflow";"deleted";tinyint;"NO";"PRI";0;""
"node__field_gestione_workflow";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_gestione_workflow";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_gestione_workflow";"langcode";varchar(32);"NO";"PRI";;""
"node__field_gestione_workflow";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_gestione_workflow";"field_gestione_workflow_value";varchar(128);"NO";"MUL";\N;""
"node__field_gioni_disponibili";"bundle";varchar(128);"NO";"MUL";;""
"node__field_gioni_disponibili";"deleted";tinyint;"NO";"PRI";0;""
"node__field_gioni_disponibili";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_gioni_disponibili";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_gioni_disponibili";"langcode";varchar(32);"NO";"PRI";;""
"node__field_gioni_disponibili";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_gioni_disponibili";"field_gioni_disponibili_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_gratuito_a_pagamento";"bundle";varchar(128);"NO";"MUL";;""
"node__field_gratuito_a_pagamento";"deleted";tinyint;"NO";"PRI";0;""
"node__field_gratuito_a_pagamento";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_gratuito_a_pagamento";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_gratuito_a_pagamento";"langcode";varchar(32);"NO";"PRI";;""
"node__field_gratuito_a_pagamento";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_gratuito_a_pagamento";"field_gratuito_a_pagamento_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_gratuito_pagamento";"bundle";varchar(128);"NO";"MUL";;""
"node__field_gratuito_pagamento";"deleted";tinyint;"NO";"PRI";0;""
"node__field_gratuito_pagamento";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_gratuito_pagamento";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_gratuito_pagamento";"langcode";varchar(32);"NO";"PRI";;""
"node__field_gratuito_pagamento";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_gratuito_pagamento";"field_gratuito_pagamento_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_id_impresa";"bundle";varchar(128);"NO";"MUL";;""
"node__field_id_impresa";"deleted";tinyint;"NO";"PRI";0;""
"node__field_id_impresa";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_id_impresa";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_id_impresa";"langcode";varchar(32);"NO";"PRI";;""
"node__field_id_impresa";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_id_impresa";"field_id_impresa_value";varchar(255);"NO";"";\N;""
"node__field_id_impresa_ref";"bundle";varchar(128);"NO";"MUL";;""
"node__field_id_impresa_ref";"deleted";tinyint;"NO";"PRI";0;""
"node__field_id_impresa_ref";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_id_impresa_ref";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_id_impresa_ref";"langcode";varchar(32);"NO";"PRI";;""
"node__field_id_impresa_ref";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_id_impresa_ref";"field_id_impresa_ref_value";varchar(255);"NO";"";\N;""
"node__field_id_progetto";"bundle";varchar(128);"NO";"MUL";;""
"node__field_id_progetto";"deleted";tinyint;"NO";"PRI";0;""
"node__field_id_progetto";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_id_progetto";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_id_progetto";"langcode";varchar(32);"NO";"PRI";;""
"node__field_id_progetto";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_id_progetto";"field_id_progetto_value";varchar(255);"NO";"";\N;""
"node__field_id_servizio";"bundle";varchar(128);"NO";"MUL";;""
"node__field_id_servizio";"deleted";tinyint;"NO";"PRI";0;""
"node__field_id_servizio";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_id_servizio";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_id_servizio";"langcode";varchar(32);"NO";"PRI";;""
"node__field_id_servizio";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_id_servizio";"field_id_servizio_value";varchar(255);"NO";"";\N;""
"node__field_image";"bundle";varchar(128);"NO";"MUL";;""
"node__field_image";"deleted";tinyint;"NO";"PRI";0;""
"node__field_image";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_image";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_image";"langcode";varchar(32);"NO";"PRI";;""
"node__field_image";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_image";"field_image_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_image";"field_image_alt";varchar(512);"YES";"";\N;""
"node__field_image";"field_image_title";varchar(1024);"YES";"";\N;""
"node__field_image";"field_image_width";int unsigned;"YES";"";\N;""
"node__field_image";"field_image_height";int unsigned;"YES";"";\N;""
"node__field_immagine";"bundle";varchar(128);"NO";"MUL";;""
"node__field_immagine";"deleted";tinyint;"NO";"PRI";0;""
"node__field_immagine";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_immagine";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_immagine";"langcode";varchar(32);"NO";"PRI";;""
"node__field_immagine";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_immagine";"field_immagine_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_immagine";"field_immagine_alt";varchar(512);"YES";"";\N;""
"node__field_immagine";"field_immagine_title";varchar(1024);"YES";"";\N;""
"node__field_immagine";"field_immagine_width";int unsigned;"YES";"";\N;""
"node__field_immagine";"field_immagine_height";int unsigned;"YES";"";\N;""
"node__field_immagine_catalogo";"bundle";varchar(128);"NO";"MUL";;""
"node__field_immagine_catalogo";"deleted";tinyint;"NO";"PRI";0;""
"node__field_immagine_catalogo";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_immagine_catalogo";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_immagine_catalogo";"langcode";varchar(32);"NO";"PRI";;""
"node__field_immagine_catalogo";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_immagine_catalogo";"field_immagine_catalogo_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_immagine_catalogo";"field_immagine_catalogo_alt";varchar(512);"YES";"";\N;""
"node__field_immagine_catalogo";"field_immagine_catalogo_title";varchar(1024);"YES";"";\N;""
"node__field_immagine_catalogo";"field_immagine_catalogo_width";int unsigned;"YES";"";\N;""
"node__field_immagine_catalogo";"field_immagine_catalogo_height";int unsigned;"YES";"";\N;""
"node__field_immagine_url";"bundle";varchar(128);"NO";"MUL";;""
"node__field_immagine_url";"deleted";tinyint;"NO";"PRI";0;""
"node__field_immagine_url";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_immagine_url";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_immagine_url";"langcode";varchar(32);"NO";"PRI";;""
"node__field_immagine_url";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_immagine_url";"field_immagine_url_value";longtext;"NO";"";\N;""
"node__field_importato";"bundle";varchar(128);"NO";"MUL";;""
"node__field_importato";"deleted";tinyint;"NO";"PRI";0;""
"node__field_importato";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_importato";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_importato";"langcode";varchar(32);"NO";"PRI";;""
"node__field_importato";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_importato";"field_importato_value";tinyint;"NO";"";\N;""
"node__field_imposta_l_ultimo_articolo";"bundle";varchar(128);"NO";"MUL";;""
"node__field_imposta_l_ultimo_articolo";"deleted";tinyint;"NO";"PRI";0;""
"node__field_imposta_l_ultimo_articolo";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_imposta_l_ultimo_articolo";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_imposta_l_ultimo_articolo";"langcode";varchar(32);"NO";"PRI";;""
"node__field_imposta_l_ultimo_articolo";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_imposta_l_ultimo_articolo";"field_imposta_l_ultimo_articolo_value";tinyint;"NO";"";\N;""
"node__field_impresa";"bundle";varchar(128);"NO";"MUL";;""
"node__field_impresa";"deleted";tinyint;"NO";"PRI";0;""
"node__field_impresa";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_impresa";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_impresa";"langcode";varchar(32);"NO";"PRI";;""
"node__field_impresa";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_impresa";"field_impresa_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_impresa_non_ligure";"bundle";varchar(128);"NO";"MUL";;""
"node__field_impresa_non_ligure";"deleted";tinyint;"NO";"PRI";0;""
"node__field_impresa_non_ligure";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_impresa_non_ligure";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_impresa_non_ligure";"langcode";varchar(32);"NO";"PRI";;""
"node__field_impresa_non_ligure";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_impresa_non_ligure";"field_impresa_non_ligure_value";tinyint;"NO";"";\N;""
"node__field_impresa_progetto";"bundle";varchar(128);"NO";"MUL";;""
"node__field_impresa_progetto";"deleted";tinyint;"NO";"PRI";0;""
"node__field_impresa_progetto";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_impresa_progetto";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_impresa_progetto";"langcode";varchar(32);"NO";"PRI";;""
"node__field_impresa_progetto";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_impresa_progetto";"field_impresa_progetto_target_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo";"field_indirizzo_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_della_sede";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_della_sede";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_della_sede";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_della_sede";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_della_sede";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_della_sede";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_della_sede";"field_indirizzo_della_sede_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_e_mail_di_contat";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_e_mail_di_contat";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_e_mail_di_contat";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_e_mail_di_contat";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_e_mail_di_contat";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_e_mail_di_contat";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_e_mail_di_contat";"field_indirizzo_e_mail_di_contat_value";varchar(254);"NO";"";\N;""
"node__field_indirizzo_facebook";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_facebook";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_facebook";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_facebook";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_facebook";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_facebook";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_facebook";"field_indirizzo_facebook_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_flickr";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_flickr";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_flickr";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_flickr";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_flickr";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_flickr";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_flickr";"field_indirizzo_flickr_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_instagram";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_instagram";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_instagram";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_instagram";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_instagram";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_instagram";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_instagram";"field_indirizzo_instagram_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_linkedin";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_linkedin";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_linkedin";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_linkedin";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_linkedin";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_linkedin";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_linkedin";"field_indirizzo_linkedin_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_luogo_servizio";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_luogo_servizio";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_luogo_servizio";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_luogo_servizio";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_luogo_servizio";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_luogo_servizio";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_luogo_servizio";"field_indirizzo_luogo_servizio_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_twitter";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_twitter";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_twitter";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_twitter";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_twitter";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_twitter";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_twitter";"field_indirizzo_twitter_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_vimeo";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_vimeo";"deleted";tinyint;"NO";"PRI";0;""
"node__field_indirizzo_vimeo";"entity_id";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_vimeo";"revision_id";int unsigned;"NO";"MUL";\N;""
"node__field_indirizzo_vimeo";"langcode";varchar(32);"NO";"PRI";;""
"node__field_indirizzo_vimeo";"delta";int unsigned;"NO";"PRI";\N;""
"node__field_indirizzo_vimeo";"field_indirizzo_vimeo_value";varchar(255);"NO";"";\N;""
"node__field_indirizzo_youtube";"bundle";varchar(128);"NO";"MUL";;""
"node__field_indirizzo_youtube";"deleted";tinyint;"NO";"PRI";0;""
